     Epoch    TrainingLoss        TestLoss         Time(s)   SavePrefix
----------------------------------------------------------------------------------------------------
      2586          0.9235          0.9008         13.5763   TrainedModels/top_all36_cgenff-sub-2586
      2587          0.9240          0.8996         13.4496   TrainedModels/top_all36_cgenff-sub-2587
      2588          0.9245          0.8989         13.4946   TrainedModels/top_all36_cgenff-sub-2588
      2589          0.9236          0.8970         13.5188   TrainedModels/top_all36_cgenff-sub-2589
      2590          0.9228          0.8983         13.5646   TrainedModels/top_all36_cgenff-sub-2590
      2591          0.9232          0.8961         13.5085   TrainedModels/top_all36_cgenff-sub-2591
      2592          0.9222          0.8992         13.4553   TrainedModels/top_all36_cgenff-sub-2592
      2593          0.9239          0.8980         13.4990   TrainedModels/top_all36_cgenff-sub-2593
      2594          0.9227          0.9018         13.5526   TrainedModels/top_all36_cgenff-sub-2594
      2595          0.9241          0.9008         13.5354   TrainedModels/top_all36_cgenff-sub-2595
      2596          0.9239          0.8996         13.5061   TrainedModels/top_all36_cgenff-sub-2596
      2597          0.9244          0.9005         13.4456   TrainedModels/top_all36_cgenff-sub-2597
      2598          0.9248          0.9002         13.5488   TrainedModels/top_all36_cgenff-sub-2598
      2599          0.9240          0.9011         13.5164   TrainedModels/top_all36_cgenff-sub-2599
      2600          0.9245          0.8996         13.5129   TrainedModels/top_all36_cgenff-sub-2600
      2601          0.9244          0.9015         13.5163   TrainedModels/top_all36_cgenff-sub-2601
      2602          0.9231          0.9011         13.5107   TrainedModels/top_all36_cgenff-sub-2602
      2603          0.9240          0.8989         13.5002   TrainedModels/top_all36_cgenff-sub-2603
      2604          0.9223          0.9015         13.5077   TrainedModels/top_all36_cgenff-sub-2604
      2605          0.9235          0.8961         13.5090   TrainedModels/top_all36_cgenff-sub-2605
      2606          0.9234          0.9015         13.5523   TrainedModels/top_all36_cgenff-sub-2606
      2607          0.9235          0.8986         13.4536   TrainedModels/top_all36_cgenff-sub-2607
      2608          0.9225          0.8992         13.4971   TrainedModels/top_all36_cgenff-sub-2608
      2609          0.9246          0.9005         13.5042   TrainedModels/top_all36_cgenff-sub-2609
      2610          0.9256          0.8980         13.5779   TrainedModels/top_all36_cgenff-sub-2610
      2611          0.9236          0.9018         13.5058   TrainedModels/top_all36_cgenff-sub-2611
      2612          0.9258          0.9005         13.4464   TrainedModels/top_all36_cgenff-sub-2612
      2613          0.9239          0.9040         13.5027   TrainedModels/top_all36_cgenff-sub-2613
      2614          0.9244          0.8999         13.5820   TrainedModels/top_all36_cgenff-sub-2614
      2615          0.9231          0.9008         13.5116   TrainedModels/top_all36_cgenff-sub-2615
      2616          0.9235          0.8999         13.5083   TrainedModels/top_all36_cgenff-sub-2616
      2617          0.9233          0.9008         13.4562   TrainedModels/top_all36_cgenff-sub-2617
      2618          0.9239          0.9008         13.5777   TrainedModels/top_all36_cgenff-sub-2618
      2619          0.9221          0.8970         13.5050   TrainedModels/top_all36_cgenff-sub-2619
      2620          0.9233          0.8989         13.5123   TrainedModels/top_all36_cgenff-sub-2620
      2621          0.9229          0.8977         13.5050   TrainedModels/top_all36_cgenff-sub-2621
      2622          0.9241          0.8996         13.5064   TrainedModels/top_all36_cgenff-sub-2622
      2623          0.9227          0.8983         13.5014   TrainedModels/top_all36_cgenff-sub-2623
      2624          0.9239          0.9002         13.5014   TrainedModels/top_all36_cgenff-sub-2624
      2625          0.9258          0.8980         13.5261   TrainedModels/top_all36_cgenff-sub-2625
      2626          0.9241          0.9015         13.5643   TrainedModels/top_all36_cgenff-sub-2626
      2627          0.9247          0.9002         13.4453   TrainedModels/top_all36_cgenff-sub-2627
      2628          0.9232          0.8999         13.4893   TrainedModels/top_all36_cgenff-sub-2628
      2629          0.9258          0.9021         13.5142   TrainedModels/top_all36_cgenff-sub-2629
      2630          0.9248          0.9008         13.5769   TrainedModels/top_all36_cgenff-sub-2630
      2631          0.9252          0.9024         13.5166   TrainedModels/top_all36_cgenff-sub-2631
      2632          0.9241          0.9005         13.4535   TrainedModels/top_all36_cgenff-sub-2632
      2633          0.9243          0.9015         13.4900   TrainedModels/top_all36_cgenff-sub-2633
      2634          0.9243          0.9005         13.5642   TrainedModels/top_all36_cgenff-sub-2634
      2635          0.9233          0.9008         13.5071   TrainedModels/top_all36_cgenff-sub-2635
      2636          0.9250          0.8986         13.5121   TrainedModels/top_all36_cgenff-sub-2636
      2637          0.9222          0.9024         13.4575   TrainedModels/top_all36_cgenff-sub-2637
      2638          0.9226          0.8973         13.5525   TrainedModels/top_all36_cgenff-sub-2638
      2639          0.9218          0.9024         13.4995   TrainedModels/top_all36_cgenff-sub-2639
      2640          0.9246          0.8992         13.5049   TrainedModels/top_all36_cgenff-sub-2640
      2641          0.9245          0.8992         13.5450   TrainedModels/top_all36_cgenff-sub-2641
      2642          0.9245          0.8986         13.4738   TrainedModels/top_all36_cgenff-sub-2642
      2643          0.9240          0.9043         13.5086   TrainedModels/top_all36_cgenff-sub-2643
      2644          0.9265          0.9018         13.5077   TrainedModels/top_all36_cgenff-sub-2644
      2645          0.9240          0.9030         13.5705   TrainedModels/top_all36_cgenff-sub-2645
      2646          0.9265          0.9005         13.5309   TrainedModels/top_all36_cgenff-sub-2646
      2647          0.9241          0.9021         13.4415   TrainedModels/top_all36_cgenff-sub-2647
      2648          0.9233          0.9027         13.5031   TrainedModels/top_all36_cgenff-sub-2648
      2649          0.9236          0.8996         13.5520   TrainedModels/top_all36_cgenff-sub-2649
      2650          0.9243          0.9015         13.5285   TrainedModels/top_all36_cgenff-sub-2650
      2651          0.9242          0.8989         13.5043   TrainedModels/top_all36_cgenff-sub-2651
      2652          0.9218          0.9005         13.4340   TrainedModels/top_all36_cgenff-sub-2652
      2653          0.9244          0.8992         13.5436   TrainedModels/top_all36_cgenff-sub-2653
      2654          0.9218          0.8992         13.5160   TrainedModels/top_all36_cgenff-sub-2654
      2655          0.9246          0.8964         13.5068   TrainedModels/top_all36_cgenff-sub-2655
      2656          0.9239          0.9018         13.4946   TrainedModels/top_all36_cgenff-sub-2656
      2657          0.9257          0.8983         13.5070   TrainedModels/top_all36_cgenff-sub-2657
      2658          0.9248          0.9024         13.5007   TrainedModels/top_all36_cgenff-sub-2658
      2659          0.9251          0.9018         13.5037   TrainedModels/top_all36_cgenff-sub-2659
      2660          0.9258          0.9018         13.5123   TrainedModels/top_all36_cgenff-sub-2660
      2661          0.9237          0.9043         13.5763   TrainedModels/top_all36_cgenff-sub-2661
      2662          0.9252          0.8996         13.4387   TrainedModels/top_all36_cgenff-sub-2662
      2663          0.9232          0.9021         13.4921   TrainedModels/top_all36_cgenff-sub-2663
      2664          0.9251          0.8973         13.5079   TrainedModels/top_all36_cgenff-sub-2664
      2665          0.9231          0.9018         13.5668   TrainedModels/top_all36_cgenff-sub-2665
      2666          0.9249          0.8958         13.5113   TrainedModels/top_all36_cgenff-sub-2666
      2667          0.9221          0.9015         13.4543   TrainedModels/top_all36_cgenff-sub-2667
      2668          0.9253          0.8945         13.5003   TrainedModels/top_all36_cgenff-sub-2668
      2669          0.9225          0.8989         13.5578   TrainedModels/top_all36_cgenff-sub-2669
      2670          0.9256          0.8973         13.5165   TrainedModels/top_all36_cgenff-sub-2670
      2671          0.9237          0.9008         13.5132   TrainedModels/top_all36_cgenff-sub-2671
      2672          0.9261          0.9011         13.4494   TrainedModels/top_all36_cgenff-sub-2672
      2673          0.9251          0.9021         13.5706   TrainedModels/top_all36_cgenff-sub-2673
      2674          0.9257          0.9011         13.5082   TrainedModels/top_all36_cgenff-sub-2674
      2675          0.9248          0.8973         13.5258   TrainedModels/top_all36_cgenff-sub-2675
      2676          0.9247          0.9011         13.5177   TrainedModels/top_all36_cgenff-sub-2676
      2677          0.9247          0.8977         13.4976   TrainedModels/top_all36_cgenff-sub-2677
      2678          0.9219          0.9015         13.4989   TrainedModels/top_all36_cgenff-sub-2678
      2679          0.9248          0.8967         13.5104   TrainedModels/top_all36_cgenff-sub-2679
      2680          0.9209          0.9037         13.5089   TrainedModels/top_all36_cgenff-sub-2680
      2681          0.9251          0.8967         13.5761   TrainedModels/top_all36_cgenff-sub-2681
      2682          0.9214          0.9015         13.4463   TrainedModels/top_all36_cgenff-sub-2682
      2683          0.9250          0.8970         13.4886   TrainedModels/top_all36_cgenff-sub-2683
      2684          0.9238          0.9008         13.5050   TrainedModels/top_all36_cgenff-sub-2684
      2685          0.9265          0.9002         13.5764   TrainedModels/top_all36_cgenff-sub-2685
      2686          0.9255          0.9027         13.5221   TrainedModels/top_all36_cgenff-sub-2686
      2687          0.9264          0.9015         13.4538   TrainedModels/top_all36_cgenff-sub-2687
      2688          0.9255          0.8999         13.4901   TrainedModels/top_all36_cgenff-sub-2688
      2689          0.9249          0.8999         13.5582   TrainedModels/top_all36_cgenff-sub-2689
      2690          0.9258          0.8992         13.5284   TrainedModels/top_all36_cgenff-sub-2690
      2691          0.9233          0.9002         13.5143   TrainedModels/top_all36_cgenff-sub-2691
      2692          0.9258          0.8986         13.4453   TrainedModels/top_all36_cgenff-sub-2692
      2693          0.9215          0.9024         13.5427   TrainedModels/top_all36_cgenff-sub-2693
      2694          0.9257          0.8967         13.5190   TrainedModels/top_all36_cgenff-sub-2694
      2695          0.9228          0.8992         13.5080   TrainedModels/top_all36_cgenff-sub-2695
      2696          0.9267          0.8967         13.5075   TrainedModels/top_all36_cgenff-sub-2696
      2697          0.9247          0.9018         13.5054   TrainedModels/top_all36_cgenff-sub-2697
      2698          0.9273          0.8999         13.5169   TrainedModels/top_all36_cgenff-sub-2698
      2699          0.9258          0.9043         13.5073   TrainedModels/top_all36_cgenff-sub-2699
      2700          0.9262          0.9015         13.5145   TrainedModels/top_all36_cgenff-sub-2700
      2701          0.9253          0.9030         13.5682   TrainedModels/top_all36_cgenff-sub-2701
      2702          0.9249          0.9024         13.4559   TrainedModels/top_all36_cgenff-sub-2702
      2703          0.9262          0.9030         13.5040   TrainedModels/top_all36_cgenff-sub-2703
      2704          0.9237          0.9015         13.5120   TrainedModels/top_all36_cgenff-sub-2704
      2705          0.9258          0.9002         13.5646   TrainedModels/top_all36_cgenff-sub-2705
      2706          0.9244          0.9011         13.5138   TrainedModels/top_all36_cgenff-sub-2706
      2707          0.9257          0.8973         13.4485   TrainedModels/top_all36_cgenff-sub-2707
      2708          0.9258          0.9021         13.5091   TrainedModels/top_all36_cgenff-sub-2708
      2709          0.9257          0.8970         13.5546   TrainedModels/top_all36_cgenff-sub-2709
      2710          0.9250          0.9027         13.5172   TrainedModels/top_all36_cgenff-sub-2710
      2711          0.9244          0.8970         13.5085   TrainedModels/top_all36_cgenff-sub-2711
      2712          0.9258          0.9037         13.4436   TrainedModels/top_all36_cgenff-sub-2712
      2713          0.9259          0.9002         13.5510   TrainedModels/top_all36_cgenff-sub-2713
      2714          0.9252          0.9015         13.5245   TrainedModels/top_all36_cgenff-sub-2714
      2715          0.9256          0.9005         13.5076   TrainedModels/top_all36_cgenff-sub-2715
      2716          0.9261          0.9024         13.5120   TrainedModels/top_all36_cgenff-sub-2716
      2717          0.9258          0.9024         13.5050   TrainedModels/top_all36_cgenff-sub-2717
      2718          0.9264          0.9027         13.5014   TrainedModels/top_all36_cgenff-sub-2718
      2719          0.9245          0.9018         13.5009   TrainedModels/top_all36_cgenff-sub-2719
      2720          0.9276          0.9027         13.5102   TrainedModels/top_all36_cgenff-sub-2720
      2721          0.9249          0.9011         13.5696   TrainedModels/top_all36_cgenff-sub-2721
      2722          0.9267          0.8992         13.4597   TrainedModels/top_all36_cgenff-sub-2722
      2723          0.9249          0.9008         13.5098   TrainedModels/top_all36_cgenff-sub-2723
      2724          0.9272          0.8980         13.5095   TrainedModels/top_all36_cgenff-sub-2724
      2725          0.9242          0.9005         13.5744   TrainedModels/top_all36_cgenff-sub-2725
      2726          0.9259          0.8973         13.5118   TrainedModels/top_all36_cgenff-sub-2726
      2727          0.9240          0.9024         13.4423   TrainedModels/top_all36_cgenff-sub-2727
      2728          0.9254          0.8967         13.4919   TrainedModels/top_all36_cgenff-sub-2728
      2729          0.9231          0.9011         13.5789   TrainedModels/top_all36_cgenff-sub-2729
      2730          0.9248          0.8958         13.5242   TrainedModels/top_all36_cgenff-sub-2730
      2731          0.9230          0.8999         13.5071   TrainedModels/top_all36_cgenff-sub-2731
      2732          0.9258          0.8973         13.4474   TrainedModels/top_all36_cgenff-sub-2732
      2733          0.9236          0.8999         13.5714   TrainedModels/top_all36_cgenff-sub-2733
      2734          0.9262          0.8970         13.5048   TrainedModels/top_all36_cgenff-sub-2734
      2735          0.9252          0.8999         13.5090   TrainedModels/top_all36_cgenff-sub-2735
      2736          0.9254          0.8992         13.4994   TrainedModels/top_all36_cgenff-sub-2736
      2737          0.9262          0.9011         13.4994   TrainedModels/top_all36_cgenff-sub-2737
      2738          0.9260          0.9021         13.4979   TrainedModels/top_all36_cgenff-sub-2738
      2739          0.9268          0.9015         13.5089   TrainedModels/top_all36_cgenff-sub-2739
      2740          0.9248          0.8999         13.5156   TrainedModels/top_all36_cgenff-sub-2740
      2741          0.9268          0.8986         13.5657   TrainedModels/top_all36_cgenff-sub-2741
      2742          0.9249          0.9024         13.4509   TrainedModels/top_all36_cgenff-sub-2742
      2743          0.9261          0.8980         13.4918   TrainedModels/top_all36_cgenff-sub-2743
      2744          0.9223          0.9011         13.4944   TrainedModels/top_all36_cgenff-sub-2744
      2745          0.9251          0.8983         13.5673   TrainedModels/top_all36_cgenff-sub-2745
      2746          0.9218          0.9015         13.5141   TrainedModels/top_all36_cgenff-sub-2746
      2747          0.9251          0.8970         13.4551   TrainedModels/top_all36_cgenff-sub-2747
      2748          0.9221          0.9005         13.4948   TrainedModels/top_all36_cgenff-sub-2748
      2749          0.9248          0.8977         13.5670   TrainedModels/top_all36_cgenff-sub-2749
      2750          0.9238          0.8999         13.5175   TrainedModels/top_all36_cgenff-sub-2750
      2751          0.9251          0.8983         13.4960   TrainedModels/top_all36_cgenff-sub-2751
      2752          0.9247          0.9011         13.4409   TrainedModels/top_all36_cgenff-sub-2752
      2753          0.9279          0.8999         13.5390   TrainedModels/top_all36_cgenff-sub-2753
      2754          0.9250          0.9005         13.5081   TrainedModels/top_all36_cgenff-sub-2754
      2755          0.9267          0.8983         13.5063   TrainedModels/top_all36_cgenff-sub-2755
      2756          0.9250          0.9015         13.5074   TrainedModels/top_all36_cgenff-sub-2756
      2757          0.9253          0.8996         13.4979   TrainedModels/top_all36_cgenff-sub-2757
      2758          0.9247          0.9005         13.5055   TrainedModels/top_all36_cgenff-sub-2758
      2759          0.9235          0.9011         13.4989   TrainedModels/top_all36_cgenff-sub-2759
      2760          0.9268          0.8980         13.5090   TrainedModels/top_all36_cgenff-sub-2760
      2761          0.9224          0.8996         13.5638   TrainedModels/top_all36_cgenff-sub-2761
      2762          0.9255          0.8980         13.4484   TrainedModels/top_all36_cgenff-sub-2762
      2763          0.9237          0.9018         13.5013   TrainedModels/top_all36_cgenff-sub-2763
      2764          0.9258          0.8977         13.5017   TrainedModels/top_all36_cgenff-sub-2764
      2765          0.9244          0.9018         13.5897   TrainedModels/top_all36_cgenff-sub-2765
      2766          0.9265          0.8999         13.5145   TrainedModels/top_all36_cgenff-sub-2766
      2767          0.9248          0.8999         13.4504   TrainedModels/top_all36_cgenff-sub-2767
      2768          0.9258          0.8986         13.5071   TrainedModels/top_all36_cgenff-sub-2768
      2769          0.9240          0.8996         13.5489   TrainedModels/top_all36_cgenff-sub-2769
      2770          0.9243          0.9005         13.5118   TrainedModels/top_all36_cgenff-sub-2770
      2771          0.9250          0.8989         13.5032   TrainedModels/top_all36_cgenff-sub-2771
      2772          0.9247          0.9024         13.4522   TrainedModels/top_all36_cgenff-sub-2772
      2773          0.9236          0.8986         13.5526   TrainedModels/top_all36_cgenff-sub-2773
      2774          0.9238          0.9018         13.5113   TrainedModels/top_all36_cgenff-sub-2774
      2775          0.9236          0.8964         13.5073   TrainedModels/top_all36_cgenff-sub-2775
      2776          0.9240          0.9002         13.5070   TrainedModels/top_all36_cgenff-sub-2776
      2777          0.9241          0.8970         13.5082   TrainedModels/top_all36_cgenff-sub-2777
      2778          0.9239          0.9008         13.5029   TrainedModels/top_all36_cgenff-sub-2778
      2779          0.9262          0.8977         13.5108   TrainedModels/top_all36_cgenff-sub-2779
      2780          0.9241          0.9008         13.5047   TrainedModels/top_all36_cgenff-sub-2780
      2781          0.9272          0.9015         13.5791   TrainedModels/top_all36_cgenff-sub-2781
      2782          0.9261          0.9037         13.4508   TrainedModels/top_all36_cgenff-sub-2782
      2783          0.9273          0.9027         13.4979   TrainedModels/top_all36_cgenff-sub-2783
      2784          0.9255          0.9018         13.5030   TrainedModels/top_all36_cgenff-sub-2784
      2785          0.9258          0.8999         13.5741   TrainedModels/top_all36_cgenff-sub-2785
      2786          0.9265          0.8980         13.5110   TrainedModels/top_all36_cgenff-sub-2786
      2787          0.9254          0.9008         13.4521   TrainedModels/top_all36_cgenff-sub-2787
      2788          0.9255          0.8980         13.4973   TrainedModels/top_all36_cgenff-sub-2788
      2789          0.9258          0.9018         13.5756   TrainedModels/top_all36_cgenff-sub-2789
      2790          0.9250          0.8989         13.5274   TrainedModels/top_all36_cgenff-sub-2790
      2791          0.9242          0.9018         13.5058   TrainedModels/top_all36_cgenff-sub-2791
      2792          0.9248          0.9015         13.4478   TrainedModels/top_all36_cgenff-sub-2792
      2793          0.9253          0.9008         13.5686   TrainedModels/top_all36_cgenff-sub-2793
      2794          0.9247          0.9011         13.5105   TrainedModels/top_all36_cgenff-sub-2794
      2795          0.9240          0.9015         13.5233   TrainedModels/top_all36_cgenff-sub-2795
      2796          0.9247          0.9024         13.5003   TrainedModels/top_all36_cgenff-sub-2796
      2797          0.9235          0.9018         13.4921   TrainedModels/top_all36_cgenff-sub-2797
      2798          0.9258          0.9008         13.4995   TrainedModels/top_all36_cgenff-sub-2798
      2799          0.9245          0.9034         13.5073   TrainedModels/top_all36_cgenff-sub-2799
      2800          0.9265          0.9005         13.5093   TrainedModels/top_all36_cgenff-sub-2800
      2801          0.9249          0.9024         13.5722   TrainedModels/top_all36_cgenff-sub-2801
      2802          0.9276          0.8992         13.4543   TrainedModels/top_all36_cgenff-sub-2802
      2803          0.9261          0.9030         13.5020   TrainedModels/top_all36_cgenff-sub-2803
      2804          0.9272          0.8996         13.5047   TrainedModels/top_all36_cgenff-sub-2804
      2805          0.9268          0.9015         13.5747   TrainedModels/top_all36_cgenff-sub-2805
      2806          0.9255          0.9008         13.5048   TrainedModels/top_all36_cgenff-sub-2806
      2807          0.9267          0.9008         13.4390   TrainedModels/top_all36_cgenff-sub-2807
      2808          0.9260          0.9008         13.4984   TrainedModels/top_all36_cgenff-sub-2808
      2809          0.9269          0.9015         13.5613   TrainedModels/top_all36_cgenff-sub-2809
      2810          0.9248          0.8970         13.5312   TrainedModels/top_all36_cgenff-sub-2810
      2811          0.9262          0.9024         13.5164   TrainedModels/top_all36_cgenff-sub-2811
      2812          0.9259          0.8989         13.4500   TrainedModels/top_all36_cgenff-sub-2812
      2813          0.9256          0.9008         13.5617   TrainedModels/top_all36_cgenff-sub-2813
      2814          0.9250          0.9008         13.5064   TrainedModels/top_all36_cgenff-sub-2814
      2815          0.9258          0.9018         13.5150   TrainedModels/top_all36_cgenff-sub-2815
      2816          0.9269          0.9034         13.5076   TrainedModels/top_all36_cgenff-sub-2816
      2817          0.9250          0.9008         13.5077   TrainedModels/top_all36_cgenff-sub-2817
      2818          0.9264          0.8977         13.5162   TrainedModels/top_all36_cgenff-sub-2818
      2819          0.9230          0.9008         13.5059   TrainedModels/top_all36_cgenff-sub-2819
      2820          0.9256          0.8986         13.5168   TrainedModels/top_all36_cgenff-sub-2820
      2821          0.9246          0.9011         13.5809   TrainedModels/top_all36_cgenff-sub-2821
      2822          0.9251          0.8989         13.4552   TrainedModels/top_all36_cgenff-sub-2822
      2823          0.9248          0.8999         13.4989   TrainedModels/top_all36_cgenff-sub-2823
      2824          0.9269          0.8992         13.5065   TrainedModels/top_all36_cgenff-sub-2824
      2825          0.9249          0.9030         13.5783   TrainedModels/top_all36_cgenff-sub-2825
      2826          0.9274          0.9008         13.5061   TrainedModels/top_all36_cgenff-sub-2826
      2827          0.9258          0.9034         13.4501   TrainedModels/top_all36_cgenff-sub-2827
      2828          0.9257          0.8999         13.5199   TrainedModels/top_all36_cgenff-sub-2828
      2829          0.9270          0.9021         13.5625   TrainedModels/top_all36_cgenff-sub-2829
      2830          0.9261          0.9027         13.5125   TrainedModels/top_all36_cgenff-sub-2830
      2831          0.9279          0.9008         13.4996   TrainedModels/top_all36_cgenff-sub-2831
      2832          0.9257          0.9024         13.4458   TrainedModels/top_all36_cgenff-sub-2832
      2833          0.9281          0.9008         13.5556   TrainedModels/top_all36_cgenff-sub-2833
      2834          0.9258          0.9024         13.5108   TrainedModels/top_all36_cgenff-sub-2834
      2835          0.9264          0.8989         13.5092   TrainedModels/top_all36_cgenff-sub-2835
      2836          0.9246          0.9008         13.5386   TrainedModels/top_all36_cgenff-sub-2836
      2837          0.9257          0.8983         13.4911   TrainedModels/top_all36_cgenff-sub-2837
      2838          0.9243          0.9008         13.5076   TrainedModels/top_all36_cgenff-sub-2838
      2839          0.9251          0.8977         13.5059   TrainedModels/top_all36_cgenff-sub-2839
      2840          0.9243          0.9015         13.5715   TrainedModels/top_all36_cgenff-sub-2840
      2841          0.9240          0.8970         13.5109   TrainedModels/top_all36_cgenff-sub-2841
      2842          0.9232          0.8983         13.4481   TrainedModels/top_all36_cgenff-sub-2842
      2843          0.9244          0.8954         13.4952   TrainedModels/top_all36_cgenff-sub-2843
      2844          0.9254          0.9008         13.5755   TrainedModels/top_all36_cgenff-sub-2844
      2845          0.9250          0.8989         13.5137   TrainedModels/top_all36_cgenff-sub-2845
      2846          0.9264          0.9005         13.5087   TrainedModels/top_all36_cgenff-sub-2846
      2847          0.9263          0.9056         13.4440   TrainedModels/top_all36_cgenff-sub-2847
      2848          0.9288          0.9015         13.5591   TrainedModels/top_all36_cgenff-sub-2848
      2849          0.9268          0.9021         13.5062   TrainedModels/top_all36_cgenff-sub-2849
      2850          0.9272          0.8989         13.5181   TrainedModels/top_all36_cgenff-sub-2850
      2851          0.9253          0.9037         13.5060   TrainedModels/top_all36_cgenff-sub-2851
      2852          0.9260          0.8977         13.5092   TrainedModels/top_all36_cgenff-sub-2852
      2853          0.9250          0.9011         13.5080   TrainedModels/top_all36_cgenff-sub-2853
      2854          0.9243          0.9008         13.5034   TrainedModels/top_all36_cgenff-sub-2854
      2855          0.9252          0.8986         13.5177   TrainedModels/top_all36_cgenff-sub-2855
      2856          0.9236          0.8980         13.5760   TrainedModels/top_all36_cgenff-sub-2856
      2857          0.9253          0.9018         13.4442   TrainedModels/top_all36_cgenff-sub-2857
      2858          0.9252          0.9002         13.5008   TrainedModels/top_all36_cgenff-sub-2858
      2859          0.9269          0.9027         13.5296   TrainedModels/top_all36_cgenff-sub-2859
      2860          0.9253          0.9015         13.5506   TrainedModels/top_all36_cgenff-sub-2860
      2861          0.9259          0.9015         13.5081   TrainedModels/top_all36_cgenff-sub-2861
      2862          0.9251          0.9030         13.4438   TrainedModels/top_all36_cgenff-sub-2862
      2863          0.9254          0.8983         13.5432   TrainedModels/top_all36_cgenff-sub-2863
      2864          0.9240          0.9008         13.5178   TrainedModels/top_all36_cgenff-sub-2864
      2865          0.9258          0.8983         13.5178   TrainedModels/top_all36_cgenff-sub-2865
      2866          0.9241          0.9018         13.4975   TrainedModels/top_all36_cgenff-sub-2866
      2867          0.9256          0.8970         13.4979   TrainedModels/top_all36_cgenff-sub-2867
      2868          0.9250          0.9005         13.5014   TrainedModels/top_all36_cgenff-sub-2868
      2869          0.9263          0.9005         13.5062   TrainedModels/top_all36_cgenff-sub-2869
      2870          0.9270          0.9021         13.5093   TrainedModels/top_all36_cgenff-sub-2870
      2871          0.9270          0.9005         13.5604   TrainedModels/top_all36_cgenff-sub-2871
      2872          0.9272          0.9018         13.4394   TrainedModels/top_all36_cgenff-sub-2872
      2873          0.9267          0.9008         13.5059   TrainedModels/top_all36_cgenff-sub-2873
      2874          0.9251          0.9008         13.5188   TrainedModels/top_all36_cgenff-sub-2874
      2875          0.9256          0.9040         13.5774   TrainedModels/top_all36_cgenff-sub-2875
      2876          0.9262          0.8992         13.5244   TrainedModels/top_all36_cgenff-sub-2876
      2877          0.9246          0.9040         13.4442   TrainedModels/top_all36_cgenff-sub-2877
      2878          0.9246          0.8973         13.5062   TrainedModels/top_all36_cgenff-sub-2878
      2879          0.9246          0.9024         13.5637   TrainedModels/top_all36_cgenff-sub-2879
      2880          0.9248          0.9005         13.5406   TrainedModels/top_all36_cgenff-sub-2880
      2881          0.9252          0.8999         13.5057   TrainedModels/top_all36_cgenff-sub-2881
      2882          0.9250          0.8996         13.4490   TrainedModels/top_all36_cgenff-sub-2882
      2883          0.9260          0.9021         13.5650   TrainedModels/top_all36_cgenff-sub-2883
      2884          0.9282          0.9005         13.5047   TrainedModels/top_all36_cgenff-sub-2884
      2885          0.9270          0.9037         13.5145   TrainedModels/top_all36_cgenff-sub-2885
      2886          0.9290          0.9024         13.5065   TrainedModels/top_all36_cgenff-sub-2886
      2887          0.9263          0.9024         13.5081   TrainedModels/top_all36_cgenff-sub-2887
      2888          0.9280          0.9034         13.4958   TrainedModels/top_all36_cgenff-sub-2888
      2889          0.9268          0.9011         13.5183   TrainedModels/top_all36_cgenff-sub-2889
      2890          0.9269          0.9021         13.5635   TrainedModels/top_all36_cgenff-sub-2890
      2891          0.9266          0.8983         13.5379   TrainedModels/top_all36_cgenff-sub-2891
      2892          0.9263          0.9021         13.4486   TrainedModels/top_all36_cgenff-sub-2892
      2893          0.9258          0.9005         13.4957   TrainedModels/top_all36_cgenff-sub-2893
      2894          0.9259          0.9030         13.5447   TrainedModels/top_all36_cgenff-sub-2894
      2895          0.9252          0.8980         13.5138   TrainedModels/top_all36_cgenff-sub-2895
      2896          0.9258          0.9043         13.5186   TrainedModels/top_all36_cgenff-sub-2896
      2897          0.9260          0.8989         13.4491   TrainedModels/top_all36_cgenff-sub-2897
      2898          0.9254          0.9037         13.5546   TrainedModels/top_all36_cgenff-sub-2898
      2899          0.9263          0.9002         13.5276   TrainedModels/top_all36_cgenff-sub-2899
      2900          0.9277          0.9024         13.5094   TrainedModels/top_all36_cgenff-sub-2900
      2901          0.9264          0.9015         13.5202   TrainedModels/top_all36_cgenff-sub-2901
      2902          0.9281          0.9034         13.5111   TrainedModels/top_all36_cgenff-sub-2902
      2903          0.9273          0.9030         13.5136   TrainedModels/top_all36_cgenff-sub-2903
      2904          0.9280          0.9008         13.5008   TrainedModels/top_all36_cgenff-sub-2904
      2905          0.9276          0.9024         13.5287   TrainedModels/top_all36_cgenff-sub-2905
      2906          0.9275          0.9008         13.5486   TrainedModels/top_all36_cgenff-sub-2906
      2907          0.9275          0.9021         13.4582   TrainedModels/top_all36_cgenff-sub-2907
      2908          0.9276          0.9005         13.5130   TrainedModels/top_all36_cgenff-sub-2908
      2909          0.9260          0.9024         13.5100   TrainedModels/top_all36_cgenff-sub-2909
      2910          0.9260          0.8986         13.5880   TrainedModels/top_all36_cgenff-sub-2910
      2911          0.9258          0.9030         13.5166   TrainedModels/top_all36_cgenff-sub-2911
      2912          0.9253          0.8973         13.4497   TrainedModels/top_all36_cgenff-sub-2912
      2913          0.9256          0.9015         13.5021   TrainedModels/top_all36_cgenff-sub-2913
      2914          0.9244          0.8967         13.5717   TrainedModels/top_all36_cgenff-sub-2914
      2915          0.9248          0.9008         13.5159   TrainedModels/top_all36_cgenff-sub-2915
      2916          0.9245          0.8996         13.5191   TrainedModels/top_all36_cgenff-sub-2916
      2917          0.9261          0.8999         13.4493   TrainedModels/top_all36_cgenff-sub-2917
