     Epoch    TrainingLoss        TestLoss         Time(s)   SavePrefix
----------------------------------------------------------------------------------------------------
        40          0.4808          0.4740         13.5562   TrainedModels/top_all36_cgenff-sub-40
        41          0.4840          0.4775         13.5147   TrainedModels/top_all36_cgenff-sub-41
        42          0.4889          0.4838         13.4284   TrainedModels/top_all36_cgenff-sub-42
        43          0.4912          0.4861         13.4900   TrainedModels/top_all36_cgenff-sub-43
        44          0.4952          0.4899         13.5596   TrainedModels/top_all36_cgenff-sub-44
        45          0.4948          0.4921         13.5239   TrainedModels/top_all36_cgenff-sub-45
        46          0.4969          0.4933         13.4882   TrainedModels/top_all36_cgenff-sub-46
        47          0.4987          0.4968         13.4384   TrainedModels/top_all36_cgenff-sub-47
        48          0.5029          0.4987         13.5259   TrainedModels/top_all36_cgenff-sub-48
        49          0.5048          0.4981         13.5055   TrainedModels/top_all36_cgenff-sub-49
        50          0.5062          0.4994         13.5013   TrainedModels/top_all36_cgenff-sub-50
        51          0.5086          0.5010         13.4855   TrainedModels/top_all36_cgenff-sub-51
        52          0.5108          0.5032         13.5128   TrainedModels/top_all36_cgenff-sub-52
        53          0.5129          0.5051         13.4978   TrainedModels/top_all36_cgenff-sub-53
        54          0.5144          0.5095         13.5035   TrainedModels/top_all36_cgenff-sub-54
        55          0.5167          0.5105         13.5098   TrainedModels/top_all36_cgenff-sub-55
        56          0.5171          0.5143         13.5425   TrainedModels/top_all36_cgenff-sub-56
        57          0.5190          0.5136         13.4473   TrainedModels/top_all36_cgenff-sub-57
        58          0.5238          0.5168         13.4953   TrainedModels/top_all36_cgenff-sub-58
        59          0.5252          0.5174         13.4914   TrainedModels/top_all36_cgenff-sub-59
        60          0.5247          0.5200         13.5641   TrainedModels/top_all36_cgenff-sub-60
        61          0.5260          0.5203         13.4954   TrainedModels/top_all36_cgenff-sub-61
        62          0.5306          0.5212         13.4318   TrainedModels/top_all36_cgenff-sub-62
        63          0.5349          0.5263         13.4813   TrainedModels/top_all36_cgenff-sub-63
        64          0.5377          0.5269         13.5640   TrainedModels/top_all36_cgenff-sub-64
        65          0.5425          0.5364         13.5042   TrainedModels/top_all36_cgenff-sub-65
        66          0.5462          0.5459         13.5069   TrainedModels/top_all36_cgenff-sub-66
        67          0.5507          0.5510         13.4397   TrainedModels/top_all36_cgenff-sub-67
        68          0.5549          0.5554         13.5694   TrainedModels/top_all36_cgenff-sub-68
        69          0.5556          0.5564         13.4981   TrainedModels/top_all36_cgenff-sub-69
        70          0.5588          0.5602         13.5129   TrainedModels/top_all36_cgenff-sub-70
        71          0.5612          0.5608         13.5065   TrainedModels/top_all36_cgenff-sub-71
        72          0.5636          0.5624         13.5041   TrainedModels/top_all36_cgenff-sub-72
        73          0.5670          0.5688         13.4919   TrainedModels/top_all36_cgenff-sub-73
        74          0.5688          0.5710         13.4959   TrainedModels/top_all36_cgenff-sub-74
        75          0.5713          0.5732         13.5028   TrainedModels/top_all36_cgenff-sub-75
        76          0.5712          0.5757         13.5570   TrainedModels/top_all36_cgenff-sub-76
        77          0.5717          0.5754         13.4437   TrainedModels/top_all36_cgenff-sub-77
        78          0.5734          0.5754         13.4931   TrainedModels/top_all36_cgenff-sub-78
        79          0.5784          0.5808         13.5052   TrainedModels/top_all36_cgenff-sub-79
        80          0.5821          0.5852         13.5614   TrainedModels/top_all36_cgenff-sub-80
        81          0.5835          0.5894         13.4923   TrainedModels/top_all36_cgenff-sub-81
        82          0.5848          0.5900         13.4286   TrainedModels/top_all36_cgenff-sub-82
        83          0.5900          0.5954         13.5103   TrainedModels/top_all36_cgenff-sub-83
        84          0.5925          0.5970         13.5490   TrainedModels/top_all36_cgenff-sub-84
        85          0.5940          0.5982         13.5010   TrainedModels/top_all36_cgenff-sub-85
        86          0.5956          0.5989         13.5014   TrainedModels/top_all36_cgenff-sub-86
        87          0.5968          0.5985         13.4299   TrainedModels/top_all36_cgenff-sub-87
        88          0.5990          0.6001         13.5535   TrainedModels/top_all36_cgenff-sub-88
        89          0.6008          0.6011         13.5024   TrainedModels/top_all36_cgenff-sub-89
        90          0.6038          0.6033         13.5060   TrainedModels/top_all36_cgenff-sub-90
        91          0.6046          0.6039         13.4967   TrainedModels/top_all36_cgenff-sub-91
        92          0.6045          0.6046         13.5083   TrainedModels/top_all36_cgenff-sub-92
        93          0.6079          0.6071         13.5022   TrainedModels/top_all36_cgenff-sub-93
        94          0.6088          0.6103         13.5049   TrainedModels/top_all36_cgenff-sub-94
        95          0.6103          0.6099         13.5159   TrainedModels/top_all36_cgenff-sub-95
        96          0.6110          0.6103         13.5789   TrainedModels/top_all36_cgenff-sub-96
        97          0.6114          0.6122         13.4662   TrainedModels/top_all36_cgenff-sub-97
        98          0.6126          0.6128         13.4840   TrainedModels/top_all36_cgenff-sub-98
        99          0.6138          0.6150         13.4962   TrainedModels/top_all36_cgenff-sub-99
       100          0.6149          0.6179         13.5603   TrainedModels/top_all36_cgenff-sub-100
       101          0.6150          0.6188         13.4985   TrainedModels/top_all36_cgenff-sub-101
       102          0.6163          0.6204         13.4457   TrainedModels/top_all36_cgenff-sub-102
       103          0.6181          0.6220         13.4953   TrainedModels/top_all36_cgenff-sub-103
       104          0.6218          0.6242         13.5644   TrainedModels/top_all36_cgenff-sub-104
       105          0.6220          0.6242         13.5106   TrainedModels/top_all36_cgenff-sub-105
       106          0.6238          0.6248         13.4933   TrainedModels/top_all36_cgenff-sub-106
       107          0.6261          0.6264         13.4450   TrainedModels/top_all36_cgenff-sub-107
       108          0.6280          0.6290         13.5434   TrainedModels/top_all36_cgenff-sub-108
       109          0.6291          0.6309         13.4982   TrainedModels/top_all36_cgenff-sub-109
       110          0.6335          0.6334         13.5038   TrainedModels/top_all36_cgenff-sub-110
       111          0.6394          0.6369         13.5005   TrainedModels/top_all36_cgenff-sub-111
       112          0.6399          0.6385         13.4961   TrainedModels/top_all36_cgenff-sub-112
       113          0.6434          0.6426         13.5061   TrainedModels/top_all36_cgenff-sub-113
       114          0.6470          0.6477         13.5115   TrainedModels/top_all36_cgenff-sub-114
       115          0.6481          0.6492         13.5078   TrainedModels/top_all36_cgenff-sub-115
       116          0.6538          0.6543         13.5623   TrainedModels/top_all36_cgenff-sub-116
       117          0.6552          0.6540         13.4477   TrainedModels/top_all36_cgenff-sub-117
       118          0.6543          0.6524         13.5034   TrainedModels/top_all36_cgenff-sub-118
       119          0.6585          0.6603         13.4940   TrainedModels/top_all36_cgenff-sub-119
       120          0.6601          0.6587         13.5734   TrainedModels/top_all36_cgenff-sub-120
       121          0.6612          0.6616         13.4943   TrainedModels/top_all36_cgenff-sub-121
       122          0.6635          0.6648         13.4408   TrainedModels/top_all36_cgenff-sub-122
       123          0.6668          0.6651         13.4846   TrainedModels/top_all36_cgenff-sub-123
       124          0.6676          0.6667         13.5676   TrainedModels/top_all36_cgenff-sub-124
       125          0.6692          0.6683         13.5069   TrainedModels/top_all36_cgenff-sub-125
       126          0.6701          0.6686         13.5255   TrainedModels/top_all36_cgenff-sub-126
       127          0.6707          0.6698         13.4483   TrainedModels/top_all36_cgenff-sub-127
       128          0.6728          0.6743         13.5427   TrainedModels/top_all36_cgenff-sub-128
       129          0.6741          0.6730         13.4977   TrainedModels/top_all36_cgenff-sub-129
       130          0.6739          0.6752         13.5032   TrainedModels/top_all36_cgenff-sub-130
       131          0.6757          0.6759         13.5013   TrainedModels/top_all36_cgenff-sub-131
       132          0.6794          0.6759         13.5152   TrainedModels/top_all36_cgenff-sub-132
       133          0.6807          0.6762         13.5018   TrainedModels/top_all36_cgenff-sub-133
       134          0.6813          0.6740         13.4973   TrainedModels/top_all36_cgenff-sub-134
       135          0.6826          0.6765         13.5103   TrainedModels/top_all36_cgenff-sub-135
       136          0.6841          0.6778         13.5636   TrainedModels/top_all36_cgenff-sub-136
       137          0.6852          0.6790         13.4439   TrainedModels/top_all36_cgenff-sub-137
       138          0.6858          0.6822         13.4914   TrainedModels/top_all36_cgenff-sub-138
       139          0.6867          0.6831         13.4962   TrainedModels/top_all36_cgenff-sub-139
       140          0.6885          0.6854         13.5584   TrainedModels/top_all36_cgenff-sub-140
       141          0.6892          0.6854         13.5124   TrainedModels/top_all36_cgenff-sub-141
       142          0.6899          0.6857         13.4541   TrainedModels/top_all36_cgenff-sub-142
       143          0.6918          0.6841         13.5067   TrainedModels/top_all36_cgenff-sub-143
       144          0.6945          0.6863         13.5625   TrainedModels/top_all36_cgenff-sub-144
       145          0.6963          0.6866         13.5268   TrainedModels/top_all36_cgenff-sub-145
       146          0.6974          0.6882         13.5069   TrainedModels/top_all36_cgenff-sub-146
       147          0.6994          0.6879         13.4404   TrainedModels/top_all36_cgenff-sub-147
       148          0.7009          0.6892         13.5339   TrainedModels/top_all36_cgenff-sub-148
       149          0.7009          0.6885         13.5119   TrainedModels/top_all36_cgenff-sub-149
       150          0.7015          0.6895         13.5089   TrainedModels/top_all36_cgenff-sub-150
       151          0.7037          0.6911         13.4941   TrainedModels/top_all36_cgenff-sub-151
       152          0.7043          0.6911         13.5037   TrainedModels/top_all36_cgenff-sub-152
       153          0.7046          0.6923         13.5171   TrainedModels/top_all36_cgenff-sub-153
       154          0.7065          0.6926         13.5073   TrainedModels/top_all36_cgenff-sub-154
       155          0.7073          0.6949         13.5082   TrainedModels/top_all36_cgenff-sub-155
       156          0.7078          0.6958         13.5550   TrainedModels/top_all36_cgenff-sub-156
       157          0.7098          0.6968         13.4354   TrainedModels/top_all36_cgenff-sub-157
       158          0.7102          0.6968         13.5029   TrainedModels/top_all36_cgenff-sub-158
       159          0.7118          0.6980         13.4966   TrainedModels/top_all36_cgenff-sub-159
       160          0.7132          0.6984         13.5625   TrainedModels/top_all36_cgenff-sub-160
       161          0.7142          0.7003         13.5058   TrainedModels/top_all36_cgenff-sub-161
       162          0.7154          0.7009         13.4512   TrainedModels/top_all36_cgenff-sub-162
       163          0.7167          0.7022         13.5059   TrainedModels/top_all36_cgenff-sub-163
       164          0.7158          0.7028         13.5493   TrainedModels/top_all36_cgenff-sub-164
       165          0.7175          0.7034         13.5257   TrainedModels/top_all36_cgenff-sub-165
       166          0.7198          0.7063         13.4977   TrainedModels/top_all36_cgenff-sub-166
       167          0.7219          0.7037         13.4572   TrainedModels/top_all36_cgenff-sub-167
       168          0.7252          0.7079         13.5773   TrainedModels/top_all36_cgenff-sub-168
       169          0.7241          0.7066         13.5037   TrainedModels/top_all36_cgenff-sub-169
       170          0.7257          0.7082         13.5101   TrainedModels/top_all36_cgenff-sub-170
       171          0.7289          0.7120         13.5124   TrainedModels/top_all36_cgenff-sub-171
       172          0.7285          0.7107         13.4992   TrainedModels/top_all36_cgenff-sub-172
       173          0.7299          0.7126         13.5006   TrainedModels/top_all36_cgenff-sub-173
       174          0.7328          0.7167         13.5188   TrainedModels/top_all36_cgenff-sub-174
       175          0.7326          0.7167         13.5198   TrainedModels/top_all36_cgenff-sub-175
       176          0.7336          0.7180         13.5606   TrainedModels/top_all36_cgenff-sub-176
       177          0.7363          0.7199         13.4582   TrainedModels/top_all36_cgenff-sub-177
       178          0.7343          0.7189         13.4880   TrainedModels/top_all36_cgenff-sub-178
       179          0.7366          0.7208         13.5098   TrainedModels/top_all36_cgenff-sub-179
       180          0.7393          0.7237         13.5705   TrainedModels/top_all36_cgenff-sub-180
       181          0.7385          0.7237         13.5131   TrainedModels/top_all36_cgenff-sub-181
       182          0.7396          0.7240         13.4508   TrainedModels/top_all36_cgenff-sub-182
       183          0.7422          0.7247         13.4947   TrainedModels/top_all36_cgenff-sub-183
       184          0.7429          0.7262         13.5722   TrainedModels/top_all36_cgenff-sub-184
       185          0.7451          0.7269         13.5085   TrainedModels/top_all36_cgenff-sub-185
       186          0.7464          0.7285         13.4931   TrainedModels/top_all36_cgenff-sub-186
       187          0.7472          0.7291         13.4494   TrainedModels/top_all36_cgenff-sub-187
       188          0.7456          0.7294         13.5555   TrainedModels/top_all36_cgenff-sub-188
       189          0.7491          0.7323         13.5143   TrainedModels/top_all36_cgenff-sub-189
       190          0.7500          0.7335         13.5189   TrainedModels/top_all36_cgenff-sub-190
       191          0.7492          0.7348         13.4981   TrainedModels/top_all36_cgenff-sub-191
       192          0.7538          0.7364         13.5078   TrainedModels/top_all36_cgenff-sub-192
       193          0.7523          0.7370         13.5043   TrainedModels/top_all36_cgenff-sub-193
       194          0.7544          0.7392         13.5065   TrainedModels/top_all36_cgenff-sub-194
       195          0.7562          0.7414         13.5075   TrainedModels/top_all36_cgenff-sub-195
       196          0.7558          0.7414         13.5808   TrainedModels/top_all36_cgenff-sub-196
       197          0.7575          0.7430         13.4521   TrainedModels/top_all36_cgenff-sub-197
       198          0.7586          0.7443         13.5015   TrainedModels/top_all36_cgenff-sub-198
       199          0.7583          0.7440         13.5173   TrainedModels/top_all36_cgenff-sub-199
       200          0.7595          0.7465         13.5798   TrainedModels/top_all36_cgenff-sub-200
       201          0.7603          0.7468         13.5023   TrainedModels/top_all36_cgenff-sub-201
       202          0.7599          0.7490         13.4463   TrainedModels/top_all36_cgenff-sub-202
       203          0.7608          0.7490         13.4851   TrainedModels/top_all36_cgenff-sub-203
       204          0.7607          0.7490         13.5593   TrainedModels/top_all36_cgenff-sub-204
       205          0.7611          0.7497         13.5164   TrainedModels/top_all36_cgenff-sub-205
       206          0.7616          0.7503         13.5000   TrainedModels/top_all36_cgenff-sub-206
       207          0.7623          0.7516         13.4488   TrainedModels/top_all36_cgenff-sub-207
       208          0.7629          0.7525         13.5410   TrainedModels/top_all36_cgenff-sub-208
       209          0.7633          0.7529         13.5078   TrainedModels/top_all36_cgenff-sub-209
       210          0.7624          0.7541         13.5142   TrainedModels/top_all36_cgenff-sub-210
       211          0.7645          0.7563         13.5004   TrainedModels/top_all36_cgenff-sub-211
       212          0.7650          0.7538         13.5058   TrainedModels/top_all36_cgenff-sub-212
       213          0.7646          0.7551         13.5157   TrainedModels/top_all36_cgenff-sub-213
       214          0.7663          0.7544         13.5106   TrainedModels/top_all36_cgenff-sub-214
       215          0.7678          0.7576         13.5032   TrainedModels/top_all36_cgenff-sub-215
       216          0.7678          0.7560         13.5530   TrainedModels/top_all36_cgenff-sub-216
       217          0.7689          0.7579         13.4605   TrainedModels/top_all36_cgenff-sub-217
       218          0.7680          0.7592         13.4992   TrainedModels/top_all36_cgenff-sub-218
       219          0.7696          0.7576         13.5043   TrainedModels/top_all36_cgenff-sub-219
       220          0.7706          0.7579         13.5797   TrainedModels/top_all36_cgenff-sub-220
       221          0.7712          0.7614         13.5243   TrainedModels/top_all36_cgenff-sub-221
       222          0.7721          0.7608         13.4446   TrainedModels/top_all36_cgenff-sub-222
       223          0.7722          0.7592         13.5110   TrainedModels/top_all36_cgenff-sub-223
       224          0.7731          0.7617         13.5703   TrainedModels/top_all36_cgenff-sub-224
       225          0.7749          0.7633         13.5101   TrainedModels/top_all36_cgenff-sub-225
       226          0.7744          0.7627         13.5006   TrainedModels/top_all36_cgenff-sub-226
       227          0.7761          0.7636         13.4407   TrainedModels/top_all36_cgenff-sub-227
       228          0.7773          0.7636         13.5770   TrainedModels/top_all36_cgenff-sub-228
       229          0.7778          0.7658         13.5051   TrainedModels/top_all36_cgenff-sub-229
       230          0.7793          0.7655         13.5221   TrainedModels/top_all36_cgenff-sub-230
       231          0.7792          0.7674         13.5090   TrainedModels/top_all36_cgenff-sub-231
       232          0.7804          0.7674         13.4979   TrainedModels/top_all36_cgenff-sub-232
       233          0.7804          0.7677         13.5103   TrainedModels/top_all36_cgenff-sub-233
       234          0.7817          0.7712         13.5120   TrainedModels/top_all36_cgenff-sub-234
       235          0.7839          0.7719         13.5142   TrainedModels/top_all36_cgenff-sub-235
       236          0.7836          0.7728         13.5702   TrainedModels/top_all36_cgenff-sub-236
